date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:57	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:37:59%20GMT	http://adobe-flash.websiteseguro.com/robots.txt		(from )
22:37:57	5510/5510	---M--	200	added ('OK')	text/html	etag:%221586-57984f6828b16%22	http://adobe-flash.websiteseguro.com/	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/index.html	(from )
22:37:59	30724/30724	---M--	200	added ('OK')	text/css	etag:%227804-57984f5992566%22	http://adobe-flash.websiteseguro.com/12123/jquery-ui.min.css	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/jquery-ui.min.css	(from http://adobe-flash.websiteseguro.com/)
22:37:59	212/212	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:02%20GMT	http://adobe-flash.websiteseguro.com/12123/icon.ico	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/icon.ico	(from http://adobe-flash.websiteseguro.com/)
22:38:00	11102/11102	---M--	200	added ('OK')	image/png	etag:%222b5e-57984f51c9ea9%22	http://adobe-flash.websiteseguro.com/12123/ameoam.png	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/ameoam.png	(from http://adobe-flash.websiteseguro.com/)
22:38:01	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Meus%20Sites/Flash/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://adobe-flash.websiteseguro.com/)
22:38:02	299/299	---M--	503	error ('Service%20Unavailable')	text/html	date:Fri,%2002%20Nov%202018%2001:38:03%20GMT	http://adobe-flash.websiteseguro.com/download.php	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/download.php	(from http://adobe-flash.websiteseguro.com/)
22:38:04	1828/1828	---M--	200	added ('OK')	application/javascript	etag:%22724-57984f4d600a1%22	http://adobe-flash.websiteseguro.com/1212/jquery.cookie.js.download	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/1212/jquery.cookie.js.download	(from http://adobe-flash.websiteseguro.com/)
22:38:04	301/301	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:06%20GMT	http://adobe-flash.websiteseguro.com/%22chrome-extension://mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/breaking-icon.svg%22	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/_chrome-extension_/mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/breaking-icon.svg_	(from http://adobe-flash.websiteseguro.com/)
22:38:05	4558/4558	---M--	200	added ('OK')	application/javascript	etag:%2211ce-57984f4eda361%22	http://adobe-flash.websiteseguro.com/1212/jquery.ulightbox.js.download	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/1212/jquery.ulightbox.js.download	(from http://adobe-flash.websiteseguro.com/)
22:38:05	297/297	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:07%20GMT	http://adobe-flash.websiteseguro.com/%22chrome-extension://mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/slow-icon.svg%22	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/_chrome-extension_/mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/slow-icon.svg_	(from http://adobe-flash.websiteseguro.com/)
22:38:05	303/303	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:07%20GMT	http://adobe-flash.websiteseguro.com/%22chrome-extension://mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/non-secure-icon.svg%22	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/_chrome-extension_/mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/non-secure-icon.svg_	(from http://adobe-flash.websiteseguro.com/)
22:38:05	296/296	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:07%20GMT	http://adobe-flash.websiteseguro.com/%22chrome-extension://mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/collapse.svg%22	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/_chrome-extension_/mlomiejdfkolichcflejclcbmpeaniij/app/images/purple_box/collapse.svg_	(from http://adobe-flash.websiteseguro.com/)
22:38:05	7449/7449	---M--	200	added ('OK')	text/css	etag:%221d19-57984f4e6350c%22	http://adobe-flash.websiteseguro.com/1212/jquery.ulightbox.css	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/1212/jquery.ulightbox.css	(from http://adobe-flash.websiteseguro.com/)
22:38:06	588/588	---M--	200	added ('OK')	text/html	etag:%2224c-57984f4c5feff%22	http://adobe-flash.websiteseguro.com/1212/2dNiWOC.html	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/1212/2dNiWOC.html	(from http://adobe-flash.websiteseguro.com/)
22:38:06	238/238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:08%20GMT	http://adobe-flash.websiteseguro.com/12123/images/ui-icons_444444_256x240.png	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/images/ui-icons_444444_256x240.png	(from http://adobe-flash.websiteseguro.com/12123/jquery-ui.min.css)
22:38:07	238/238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:09%20GMT	http://adobe-flash.websiteseguro.com/12123/images/ui-icons_555555_256x240.png	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/images/ui-icons_555555_256x240.png	(from http://adobe-flash.websiteseguro.com/12123/jquery-ui.min.css)
22:38:07	238/238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:09%20GMT	http://adobe-flash.websiteseguro.com/12123/images/ui-icons_ffffff_256x240.png	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/images/ui-icons_ffffff_256x240.png	(from http://adobe-flash.websiteseguro.com/12123/jquery-ui.min.css)
22:38:07	238/238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:09%20GMT	http://adobe-flash.websiteseguro.com/12123/images/ui-icons_777620_256x240.png	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/images/ui-icons_777620_256x240.png	(from http://adobe-flash.websiteseguro.com/12123/jquery-ui.min.css)
22:38:07	238/238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:09%20GMT	http://adobe-flash.websiteseguro.com/12123/images/ui-icons_cc0000_256x240.png	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/images/ui-icons_cc0000_256x240.png	(from http://adobe-flash.websiteseguro.com/12123/jquery-ui.min.css)
22:38:08	238/238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Nov%202018%2001:38:10%20GMT	http://adobe-flash.websiteseguro.com/12123/images/ui-icons_777777_256x240.png	C:/Meus%20Sites/Flash/adobe-flash.websiteseguro.com/12123/images/ui-icons_777777_256x240.png	(from http://adobe-flash.websiteseguro.com/12123/jquery-ui.min.css)
22:38:09	43233/43233	---MC-	200	added ('OK')	text/javascript	date:Thu,%2011%20Oct%202018%2019:41:26%20GMT	https://www.google-analytics.com/analytics.js	C:/Meus%20Sites/Flash/www.google-analytics.com/analytics.js	(from http://adobe-flash.websiteseguro.com/)
